,sID,Bigram #,Trial #,bigram_loc,Bigram,corr_bigram,IKI,string,resp_string,rep #,bg_freq
255,s179,255,63,2, 'e' 'm',em,0.08799194917082787,kremp,kremp,1,2039661
256,s179,256,63,3, 'm' 'p',mp,0.1359291709959507,kremp,kremp,1,1042198
257,s179,257,64,0,'u' 'c',lu,0.5919964960776269,lucky,ucky,1,568081
258,s179,258,64,1, 'c' 'k',uc,0.16805135505273938,lucky,ucky,1,891233
259,s179,259,64,2, 'k' 'y',ck,0.20002065179869533,lucky,ucky,1,925655
260,s179,260,65,0,'v' 'o',vo,0.16804497316479683,vodka,vodka,3,368238
261,s179,261,65,1, 'o' 'd',od,0.20793158188462257,vodka,vodka,3,1013147
262,s179,262,65,2, 'd' 'k',dk,0.6961025572381914,vodka,vodka,3,5347
263,s179,263,65,3, 'k' 'a',ka,0.11990209901705384,vodka,vodka,3,60568
264,s179,264,66,0,'l' 'u',lu,0.22401766804978251,lucky,lucky,2,568081
265,s179,265,66,1, 'u' 'c',uc,0.2639926113188267,lucky,lucky,2,891233
266,s179,266,66,2, 'c' 'k',ck,0.12798603205010295,lucky,lucky,2,925655
267,s179,267,66,3, 'k' 'y',ky,0.19997624401003122,lucky,lucky,2,49764
268,s179,268,67,0,'h' 'e',he,0.09598248498514295,heond,heond,2,21484684
269,s179,269,67,1, 'e' 'o',eo,0.09592696372419596,heond,heond,2,305120
270,s179,270,67,2, 'o' 'n',on,0.1279968530870974,heond,heond,2,8830487
271,s179,271,67,3, 'n' 'd',nd,0.1840046551078558,heond,heond,2,9414961
272,s179,272,68,0,'a' 'b',ab,0.16805543610826135,about,about,2,1203849
273,s179,273,68,1, 'b' 'o',bo,0.15201885299757123,about,about,2,1140702
274,s179,274,68,2, 'o' 'u',ou,0.10402083862572908,about,about,2,7425307
275,s179,275,68,3, 'u' 't',ut,0.11198487225919962,about,about,2,3257233
276,s179,276,69,0,'v' 'a',va,0.1280474392697215,vanru,vanru,2,560130
277,s179,277,69,1, 'a' 'n',an,0.1838436108082533,vanru,vanru,2,12315713
278,s179,278,69,2, 'n' 'r',nr,0.27200738713145256,vanru,vanru,2,54341
279,s179,279,69,3, 'r' 'u',ru,0.1759966048412025,vanru,vanru,2,705492
280,s179,280,70,0,'a' 'b',ab,0.13608122197911143,about,about,3,1203849
281,s179,281,70,1, 'b' 'o',bo,0.15995725616812706,about,about,3,1140702
282,s179,282,70,2, 'o' 'u',ou,0.08795018075034022,about,about,3,7425307
283,s179,283,70,3, 'u' 't',ut,0.12801404111087322,about,about,3,3257233
284,s179,284,71,0,'t' 'h',th,0.0880395108833909,think,think,1,22288309
285,s179,285,71,1, 'h' 'i',hi,0.08790153823792934,think,think,1,6198006
286,s179,286,71,2, 'i' 'n',in,0.1680636927485466,think,think,1,13597302
287,s179,287,71,3, 'n' 'k',nk,0.14405604731291533,think,think,1,445067
288,s179,288,72,0,'z' 'i',zi,0.14391108928248286,zibja,zibja,2,54565
289,s179,289,72,1, 'i' 'b',ib,0.20798754505813122,zibja,zibja,2,493267
290,s179,290,72,2, 'b' 'j',bj,0.20000062603503466,zibja,zibja,2,105433
291,s179,291,72,3, 'j' 'a',ja,0.10409241961315274,zibja,zibja,2,40073
292,s179,292,73,0,'e' 'd',ed,0.25613975804299116,edthe,edthe,3,7805967
293,s179,293,73,1, 'd' 't',dt,0.31194145791232586,edthe,edthe,3,11191
294,s179,294,73,2, 't' 'h',th,0.11205287603661418,edthe,edthe,3,22288309
295,s179,295,73,3, 'h' 'e',he,0.13599123107269406,edthe,edthe,3,21484684
296,s179,296,74,0,'t' 'h',th,0.09597640438005328,there,there,3,22288309
297,s179,297,74,1, 'h' 'e',he,0.1439442136324942,there,there,3,21484684
298,s179,298,74,2, 'e' 'r',er,0.06397184310480952,there,there,3,12934901
299,s179,299,74,3, 'r' 'e',re,0.12802352290600538,there,there,3,10687711
300,s179,300,75,0,'f' 'a',fa,0.128042827360332,faqir,faqir,3,1043958
301,s179,301,75,1, 'a' 'q',aq,0.4800614370033145,faqir,faqir,3,4924
302,s179,302,75,2, 'q' 'i',qi,0.4319693245925009,faqir,faqir,3,36
303,s179,303,75,3, 'i' 'r',ir,0.1279858499765396,faqir,faqir,3,2142678
304,s179,304,76,0,'k' 'r',kr,0.12008070712909102,kremp,kremp,2,5683
305,s179,305,76,1, 'r' 'e',re,0.09593974472954869,kremp,kremp,2,10687711
306,s179,306,76,2, 'e' 'm',em,0.1680739871226251,kremp,kremp,2,2039661
307,s179,307,76,3, 'm' 'p',mp,0.08803190803155303,kremp,kremp,2,1042198
308,s179,308,77,0,'t' 'h',th,0.11993569694459438,there,there,4,22288309
309,s179,309,77,1, 'h' 'e',he,0.15200156904757023,there,there,4,21484684
310,s179,310,77,2, 'e' 'r',er,0.07206320017576218,there,there,4,12934901
