,sID,Bigram #,Trial #,bigram_loc,Bigram,corr_bigram,IKI,string,resp_string,rep #
184,s83,184,45,1, 'd' 't',dt,0.22400234593078494,edthe,edthe,3
185,s83,185,45,2, 't' 'h',th,0.10406196489930153,edthe,edthe,3
186,s83,186,45,3, 'h' 'e',he,0.0959386583417654,edthe,edthe,3
187,s83,187,46,0,'k' 'r',kr,0.112023766618222,kremp,kremp,0
188,s83,188,46,1, 'r' 'e',re,0.07193007040768862,kremp,kremp,0
189,s83,189,46,2, 'e' 'm',em,0.1521070096641779,kremp,kremp,0
190,s83,190,46,3, 'm' 'p',mp,0.3359558000229299,kremp,kremp,0
191,s83,191,47,0,'c' 'h',ch,0.15196620533242822,champ,champ,1
192,s83,192,47,1, 'h' 'a',ha,0.1760301017202437,champ,champ,1
193,s83,193,47,2, 'a' 'm',am,0.4958911328576505,champ,champ,1
194,s83,194,47,3, 'm' 'p',mp,0.22399183921515942,champ,champ,1
195,s83,195,48,0,'h' 'e',he,0.14404152240604162,heond,heond,2
196,s83,196,48,1, 'e' 'o',eo,0.1438729460351169,heond,heond,2
197,s83,197,48,2, 'o' 'n',on,0.20800818083807826,heond,heond,2
198,s83,198,48,3, 'n' 'd',nd,0.10410519316792488,heond,heond,2
199,s83,199,49,0,'z' 'i',zi,0.27995458571240306,zibja,zibja,3
200,s83,200,49,1, 'i' 'b',ib,0.21604058938100934,zibja,zibja,3
201,s83,201,49,2, 'b' 'j',bj,0.23193744895979762,zibja,zibja,3
202,s83,202,49,3, 'j' 'a',ja,0.1999967168085277,zibja,zibja,3
203,s83,203,50,0,'t' 'h',th,0.13593893498182297,theme,theme,0
204,s83,204,50,1, 'h' 'e',he,0.16002777079120278,theme,theme,0
205,s83,205,50,2, 'e' 'm',em,0.1759722540155053,theme,theme,0
206,s83,206,50,3, 'm' 'e',me,0.11210204195231199,theme,theme,0
207,s83,207,51,0,'t' 'h',th,0.11991657596081495,therm,therm,2
208,s83,208,51,1, 'h' 'e',he,0.11201075185090303,therm,therm,2
209,s83,209,51,2, 'e' 'r',er,0.0800550552085042,therm,therm,2
210,s83,210,51,3, 'r' 'm',rm,0.13598019583150744,therm,therm,2
211,s83,211,52,0,'v' 'a',va,0.17602480482310057,vanru,vanru,1
212,s83,212,52,1, 'a' 'n',an,0.40799296321347356,vanru,vanru,1
213,s83,213,52,2, 'n' 'r',nr,0.49608690198510885,vanru,vanru,1
214,s83,214,52,3, 'r' 'u',ru,0.16797034302726388,vanru,vanru,1
215,s83,215,53,0,'f' 'a',fa,0.39987527625635266,faqir,faqir,4
216,s83,216,53,1, 'a' 'q',aq,0.263931383844465,faqir,faqir,4
217,s83,217,53,2, 'q' 'i',qi,0.2081029419787228,faqir,faqir,4
218,s83,218,53,3, 'i' 'r',ir,0.1359819071367383,faqir,faqir,4
219,s83,219,54,0,'c' 'h',ch,0.1679555936716497,cheer,cheer,2
220,s83,220,54,1, 'h' 'e',he,0.1280407141894102,cheer,cheer,2
221,s83,221,54,2, 'e' 'e',ee,0.16800657706335187,cheer,cheer,2
222,s83,222,54,3, 'e' 'r',er,0.12795071490108967,cheer,cheer,2
223,s83,223,55,0,'l' 'u',lu,0.1679549920372665,lucky,lucky,1
224,s83,224,55,1, 'u' 'c',uc,0.1599757499061525,lucky,lucky,1
225,s83,225,55,2, 'c' 'k',ck,0.0961378370411694,lucky,lucky,1
226,s83,226,55,3, 'k' 'y',ky,0.24002957716584206,lucky,lucky,1
227,s83,227,56,0,'k' 'r',kr,0.1199409244582057,kremp,kremp,1
228,s83,228,56,1, 'r' 'e',re,0.09609986282885075,kremp,kremp,1
229,s83,229,56,2, 'e' 'm',em,0.13595372205600142,kremp,kremp,1
230,s83,230,56,3, 'm' 'p',mp,0.28802237985655665,kremp,kremp,1
231,s83,231,57,0,'c' 'o',co,0.21589698176831007,cooed,cooed,2
232,s83,232,57,1, 'o' 'o',oo,0.1441234783269465,cooed,cooed,2
233,s83,233,57,2, 'o' 'e',oe,0.07186102494597435,cooed,cooed,2
234,s83,234,57,3, 'e' 'd',ed,0.11204294674098492,cooed,cooed,2
235,s83,235,58,0,'a' 'b',ab,0.23204751079902053,about,about,2
236,s83,236,58,1, 'b' 'o',bo,0.1600128309801221,about,about,2
237,s83,237,58,2, 'o' 'u',ou,0.1440481678582728,about,about,2
238,s83,238,58,3, 'u' 't',ut,0.12799448939040303,about,about,2
239,s83,239,59,0,'v' 'a',va,0.1439778762869537,vanru,vanru,2
240,s83,240,59,1, 'a' 'n',an,0.12000518012791872,vanru,vanru,2
241,s83,241,59,2, 'n' 'r',nr,0.15195042500272393,vanru,vanru,2
242,s83,242,59,3, 'r' 'u',ru,0.19206016464158893,vanru,vanru,2
243,s83,243,60,0,'b' 'e',be,0.09595689084380865,belly,belly,2
244,s83,244,60,1, 'e' 'l',el,0.30406308686360717,belly,belly,2
245,s83,245,60,2, 'l' 'l',ll,0.15205121133476496,belly,belly,2
246,s83,246,60,3, 'l' 'y',ly,0.08803314296528697,belly,belly,2
247,s83,247,61,0,'w' 'o',wo,0.29601851804181933,would,would,1
248,s83,248,61,1, 'o' 'u',ou,0.12006394006311893,would,would,1
249,s83,249,61,2, 'u' 'l',ul,0.24799100123345852,would,would,1
250,s83,250,61,3, 'l' 'd',ld,0.17598566273227334,would,would,1
251,s83,251,62,0,'z' 'i',zi,0.19195017404854298,zibja,zibja,4
252,s83,252,62,1, 'i' 'b',ib,0.3280348568223417,zibja,zibja,4
253,s83,253,62,2, 'b' 'j',bj,0.335997736081481,zibja,zibja,4
254,s83,254,62,3, 'j' 'a',ja,0.22390119219198823,zibja,zibja,4
255,s83,255,63,0,'p' 'u',pu,0.22388236271217465,puppy,puppy,2
256,s83,256,63,1, 'u' 'p',up,0.21600040700286627,puppy,puppy,2
257,s83,257,63,2, 'p' 'p',pp,0.12805675342679024,puppy,puppy,2
258,s83,258,63,3, 'p' 'y',py,0.1439393018372357,puppy,puppy,2
259,s83,259,64,0,'v' 'o',vo,0.11202169163152575,vodka,vodka,2
260,s83,260,64,1, 'o' 'd',od,0.23205777630209923,vodka,vodka,2
261,s83,261,64,2, 'd' 'k',dk,0.1440339731052518,vodka,vodka,2
